# PDB,Heme,ligand,saddling
4n4o,HEC_E_608,HIS-HIS,0.203
4n4y,HEM_A_602,HIS-HIS,-0.938
4n7n,HEM_A_201,HIS,0.130
4n7n,HEM_B_201,HIS,0.069
4n7n,HEM_C_201,HIS,0.096
4n7n,HEM_D_201,HIS,-0.046
4n7n,HEM_E_201,HIS,0.193
4n7n,HEM_F_201,HIS,0.070
4n7n,HEM_G_201,HIS,0.169
4n7n,HEM_H_201,HIS,-0.080
4n7n,HEM_I_201,HIS,0.120
4n7n,HEM_J_201,HIS,-0.014
4n7n,HEM_K_201,HIS,0.031
4n7n,HEM_L_201,HIS,0.006
4n7o,HEM_B_201,HIS,0.161
4n7o,HEM_C_201,HIS,0.025
4n7o,HEM_F_201,HIS,0.098
4n7o,HEM_G_201,HIS,0.130
4n7o,HEM_J_201,HIS,-0.045
4n7o,HEM_K_201,HIS,0.062
4n7p,HEM_B_201,HIS,0.008
4n7p,HEM_C_201,HIS,0.070
4n7p,HEM_F_201,HIS,-0.006
4n7p,HEM_G_201,HIS,0.170
4n7p,HEM_J_201,HIS,0.064
4n7p,HEM_K_201,HIS,0.032
4n8t,HEM_A_201,HIS-NO,-0.078
4n8t,HEM_B_201,HIS-NO,0.265
4nfg,HEM_A_301,HIS-UNX,-0.494
4nfg,HEC_B_201,HIS-MET,-0.047
4ni0,HEM_A_202,HIS-CMO,0.393
4ni0,HEM_B_202,HIS-CMO,0.532
4ni1,HEM_A_202,HIS-CMO,0.173
4ni1,HEM_B_202,HIS-CMO,0.005
4njb,HEM_A_602,HIS-HOH,-0.225
4nk1,HEM_A_201,HIS-PO4,-0.036
4nk1,HEM_B_201,HIS-PO4,0.057
4nk2,HEM_A_700,HIS,-0.020
4nk2,HEM_B_700,HIS,0.008
4nkv,HEM_A_600,CYS-AER,-0.161
4nkv,HEM_B_600,CYS-AER,-0.102
4nkv,HEM_C_600,CYS-AER,-0.097
4nkv,HEM_D_600,CYS-AER,-0.075
4nkw,HEM_A_600,CYS,-0.206
4nkw,HEM_B_600,CYS,-0.138
4nkw,HEM_C_600,CYS,-0.248
4nkw,HEM_D_600,CYS,-0.278
4nkx,HEM_A_600,CYS,-0.287
4nkx,HEM_B_600,CYS,-0.276
4nkx,HEM_C_600,CYS,-0.163
4nkx,HEM_D_600,CYS,-0.111
4nky,HEM_A_600,CYS,-0.226
4nky,HEM_B_600,CYS,-0.228
4nky,HEM_C_600,CYS,-0.079
4nky,HEM_D_600,CYS,-0.165
4nl5,HEM_A_201,HIS-CYN,0.272
4nl5,HEM_B_201,HIS-CYN,0.281
4nos,HEM_A_510,CYS,-0.294
4nos,HEM_B_1010,CYS,-0.391
4nos,HEM_C_2010,CYS,-0.242
4nos,HEM_D_3010,CYS,-0.442
4np1,HEM_A_185,HIS-NO,0.151
4np1,HEM_B_185,HIS-NO,0.080
4ns2,HEM_A_202,HIS-HOH,-0.004
4nse,HEM_A_500,CYS,-0.752
4nse,HEM_B_500,CYS,-0.515
4nva,HEM_A_301,HIS-HOH,-0.617
4nvb,HEM_A_301,HIS-HOH,-0.623
4nvc,HEM_A_302,HIS-HOH,-0.542
4nvd,HEM_A_302,HIS-HOH,-0.613
4nve,HEM_A_301,HIS-HOH,-0.574
4nvf,HEM_A_302,HIS-HOH,-0.600
4nvg,HEM_B_301,HIS-HOH,-0.558
4nvh,HEM_B_301,HIS-HOH,-0.643
4nvi,HEM_B_301,HIS-HOH,-0.665
4nvj,HEM_B_301,HIS-HOH,-0.488
4nvk,HEM_B_301,HIS-HOH,-0.537
4nvl,HEM_A_301,HIS-HOH,-0.594
4nvm,HEM_B_301,HIS-HOH,-0.643
4nvn,HEM_B_301,HIS-HOH,-0.624
4nvo,HEM_B_301,HIS-HOH,-0.529
4nxa,HEM_A_201,HIS-HOH,0.073
4nxc,HEM_A_201,HIS-HOH,0.069
4ny4,HEM_A_601,CYS-2QH,-0.242
4nz2,HEM_A_501,CYS-HOH,-0.248
4nz2,HEM_B_501,CYS-HOH,-0.304
4nzi,HEM_A_201,HIS-HIS,-0.106
4o1q,HEC_A_402,HIS,0.107
4o1q,HEC_A_403,HIS-TYR,0.007
4o1q,HEC_B_402,HIS,0.149
4o1q,HEC_B_403,HIS-TYR,0.026
4o1t,HEM_A_201,HIS-HIS,-0.112
4o1w,HEC_A_101,HIS-MET,0.512
4o1w,HEC_B_101,HIS-MET,0.397
4o1w,HEC_C_101,HIS-MET,0.463
4o1w,HEC_D_101,HIS-MET,0.402
4o1w,HEC_E_101,HIS-MET,0.286
4o1w,HEC_F_101,HIS-MET,0.276
4o1z,HEM_A_801,HIS,-0.242
4o1z,HEM_B_801,HIS,-0.201
4o2g,HEM_A_201,HIS-CMO,-0.102
4o35,HEM_A_201,HIS-CMO,-0.140
4o4p,HEM_A_501,CYS,-0.296
4o4p,HEM_B_501,CYS,-0.294
4o4t,HEM_A_201,HIS-HIS,0.066
4o4z,HEM_A_201,HIS-HIS,-0.021
4o6q,HEM_A_202,HIS-FMT,0.194
4o6s,HEM_A_205,HIS-TYR,-0.157
4o6t,HEM_A_202,HIS-TYR,0.259
4o6u,HEM_A_203,HIS-TYR,0.305
4o6y,HEM_A_301,HIS-HIS,0.264
4o6y,HEM_A_302,HIS-HIS,0.287
4o6y,HEM_B_301,HIS-HIS,0.379
4o6y,HEM_B_302,HIS-HIS,0.189
4o79,HEM_A_301,HIS-HIS,0.265
4o79,HEM_A_302,HIS-HIS,0.227
4o79,HEM_B_301,HIS-HIS,0.346
4o79,HEM_B_302,HIS-HIS,0.159
4o7g,HEM_A_301,HIS-HIS,0.295
4o7g,HEM_A_302,HIS-HIS,0.277
4o7g,HEM_B_301,HIS-HIS,0.330
4o7g,HEM_B_302,HIS-HIS,0.286
4odc,HEM_A_203,CYN-HOH,0.089
4odc,HEM_B_202,HIS-CYN,0.150
4oek,HEM_A_606,HIS-HOH,-0.364
4of9,HEM_A_201,HIS-HOH,0.207
4ogq,HEC_A_301,HIS-HIS,-0.130
4ogq,HEC_A_302,HIS-HIS,-0.994
4ogq,HEC_A_303,HOH,0.483
4ogq,HEC_C_301,HIS-TYR,-0.393
4ood,HEM_A_201,HIS-HOH,0.068
4oq7,HEM_A_301,HIS-HOH,-0.394
4oqr,HEM_A_501,CYS,-0.058
4oqs,HEM_A_501,CYS,-0.239
4otj,HEM_A_705,HIS-HOH,-0.440
4otj,HEM_B_706,HIS-HOH,-0.431
4otj,HEM_C_705,HIS-HOH,-0.458
4otj,HEM_D_705,HIS-HOH,-0.392
4oz5,HEM_A_201,HIS,-0.123
4p4q,HEM_A_301,HIS,-0.795
4p4q,HEM_B_201,HIS-MET,0.059
4p4q,HEM_C_301,HIS,-0.791
4p4q,HEM_D_201,HIS-MET,-0.112
4ph9,HEM_A_602,HIS-HOH,-0.486
4ph9,HEM_B_602,HIS-HOH,-0.474
4pj0,HEM_E_102,HIS-HIS,0.003
4pj0,HEC_V_201,HIS-HIS,-0.005
4pj0,HEM_e_101,HIS-HIS,0.004
4pj0,HEC_v_201,HIS-HIS,-0.004
4pk5,HEM_A_501,HIS-PKJ,0.314
4pk5,HEM_B_501,HIS-PKJ,0.368
4pnj,HEM_A_201,HIS-HOH,0.081
4pnx,HEM_A_602,HIS,-0.427
4pq6,HEM_A_201,HIS-HOH,0.055
4pqb,HEM_A_201,HIS-HIS,0.277
4pqc,HEM_A_201,HIS-HOH,0.323
4pv1,HEC_A_303,HIS-HIS,-0.086
4pv1,HEC_A_304,HIS-HIS,-1.023
4pv1,HEC_A_305,HOH-SMA,0.327
4pv1,HEC_C_301,HIS-TYR,-0.324
4pw9,HEC_B_201,HIS-MET,-0.034
4pwa,HEC_A_201,HIS-MET,0.115
4pwa,HEC_B_201,HIS-MET,0.176
4pwa,HEC_C_201,HIS-MET,0.247
4pwa,HEC_D_201,HIS-MET,0.057
4pwv,HEM_A_501,CYS-KH4,-0.425
4pxh,HEM_A_501,CYS-KH4,-0.586
4pxh,HEM_C_501,CYS-KH4,-0.600
4pxh,HEM_E_501,CYS-KH4,-0.507
4q0t,HEC_A_601,LYS-HOH,0.519
4q0t,HEC_A_602,HIS-HIS,1.056
4q0t,HEC_A_603,HIS-HIS,-0.215
4q0t,HEC_A_604,HIS-HIS,0.702
4q0t,HEC_A_605,HIS-HIS,-0.371
4q0t,HEC_A_606,HIS-HIS,-0.153
4q0t,HEC_A_607,HIS-HIS,0.286
4q0t,HEC_A_608,HIS-HIS,0.038
4q0t,HEC_B_601,LYS-HOH,0.513
4q0t,HEC_B_602,HIS-HIS,1.088
4q0t,HEC_B_603,HIS-HIS,-0.254
4q0t,HEC_B_604,HIS-HIS,0.722
4q0t,HEC_B_605,HIS-HIS,-0.373
4q0t,HEC_B_606,HIS-HIS,-0.095
4q0t,HEC_B_607,HIS-HIS,0.291
4q0t,HEC_B_608,HIS-HIS,-0.107
4q17,HEC_A_601,LYS-HOH,0.505
4q17,HEC_A_602,HIS-HIS,1.071
4q17,HEC_A_603,HIS-HIS,-0.201
4q17,HEC_A_604,HIS-HIS,0.698
4q17,HEC_A_605,HIS-HIS,-0.342
4q17,HEC_A_606,HIS-HIS,-0.124
4q17,HEC_A_607,HIS-HIS,0.333
4q17,HEC_A_608,HIS-HIS,0.004
4q17,HEC_B_601,LYS-HOH,0.503
4q17,HEC_B_602,HIS-HIS,1.037
4q17,HEC_B_603,HIS-HIS,-0.202
4q17,HEC_B_604,HIS-HIS,0.692
4q17,HEC_B_605,HIS-HIS,-0.408
4q17,HEC_B_606,HIS-HIS,-0.083
4q17,HEC_B_607,HIS-HIS,0.323
4q17,HEC_B_608,HIS-HIS,-0.092
4q1o,HEC_A_601,LYS-HOH,0.505
4q1o,HEC_A_602,HIS-HIS,1.071
4q1o,HEC_A_603,HIS-HIS,-0.201
4q1o,HEC_A_604,HIS-HIS,0.698
4q1o,HEC_A_605,HIS-HIS,-0.342
4q1o,HEC_A_606,HIS-HIS,-0.124
4q1o,HEC_A_607,HIS-HIS,0.333
4q1o,HEC_A_608,HIS-HIS,0.004
4q1o,HEC_B_601,LYS-HOH,0.503
4q1o,HEC_B_602,HIS-HIS,1.037
4q1o,HEC_B_603,HIS-HIS,-0.202
4q1o,HEC_B_604,HIS-HIS,0.692
4q1o,HEC_B_605,HIS-HIS,-0.408
4q1o,HEC_B_606,HIS-HIS,-0.083
4q1o,HEC_B_607,HIS-HIS,0.323
4q1o,HEC_B_608,HIS-HIS,-0.092
4q4u,HEC_A_601,LYS-SO3,0.539
4q4u,HEC_A_602,HIS-HIS,1.030
4q4u,HEC_A_603,HIS-HIS,-0.237
4q4u,HEC_A_604,HIS-HIS,0.677
4q4u,HEC_A_605,HIS-HIS,-0.253
4q4u,HEC_A_606,HIS-HIS,-0.120
4q4u,HEC_A_607,HIS-HIS,0.324
4q4u,HEC_A_608,HIS-HIS,0.063
4q4u,HEC_B_601,LYS-SO3,0.521
4q4u,HEC_B_602,HIS-HIS,1.095
4q4u,HEC_B_603,HIS-HIS,-0.270
4q4u,HEC_B_604,HIS-HIS,0.709
4q4u,HEC_B_605,HIS-HIS,-0.261
4q4u,HEC_B_606,HIS-HIS,-0.106
4q4u,HEC_B_607,HIS-HIS,0.327
4q4u,HEC_B_608,HIS-HIS,-0.051
4q5b,HEC_A_601,LYS-SO3,0.557
4q5b,HEC_A_602,HIS-HIS,0.975
4q5b,HEC_A_603,HIS-HIS,-0.217
4q5b,HEC_A_604,HIS-HIS,0.681
4q5b,HEC_A_605,HIS-HIS,-0.331
4q5b,HEC_A_606,HIS-HIS,-0.117
4q5b,HEC_A_607,HIS-HIS,0.349
4q5b,HEC_A_608,HIS-HIS,0.041
4q5b,HEC_B_601,LYS-SO3,0.585
4q5b,HEC_B_602,HIS-HIS,1.047
4q5b,HEC_B_603,HIS-HIS,-0.262
4q5b,HEC_B_604,HIS-HIS,0.683
4q5b,HEC_B_605,HIS-HIS,-0.363
4q5b,HEC_B_606,HIS-HIS,-0.136
4q5b,HEC_B_607,HIS-HIS,0.363
4q5b,HEC_B_608,HIS-HIS,-0.015
4q5c,HEC_A_601,LYS-SO3,0.546
4q5c,HEC_A_602,HIS-HIS,1.060
4q5c,HEC_A_603,HIS-HIS,-0.205
4q5c,HEC_A_604,HIS-HIS,0.694
4q5c,HEC_A_605,HIS-HIS,-0.272
4q5c,HEC_A_606,HIS-HIS,-0.118
4q5c,HEC_A_607,HIS-HIS,0.361
4q5c,HEC_A_608,HIS-HIS,0.060
4q5c,HEC_B_601,LYS-SO3,0.540
4q5c,HEC_B_602,HIS-HIS,1.106
4q5c,HEC_B_603,HIS-HIS,-0.267
4q5c,HEC_B_604,HIS-HIS,0.719
4q5c,HEC_B_605,HIS-HIS,-0.281
4q5c,HEC_B_606,HIS-HIS,-0.105
4q5c,HEC_B_607,HIS-HIS,0.338
4q5c,HEC_B_608,HIS-HIS,-0.037
4q5p,HEM_A_201,HIS-LYS,0.111
4q5p,HEM_B_201,HIS-LYS,0.286
4q5p,HEM_C_201,HIS-LYS,0.047
4qao,HEM_A_201,HIS-LYS,-0.128
4qao,HEM_B_201,HIS-LYS,-0.130
4qao,HEM_C_201,HIS-LYS,-0.041
4qau,HEM_A_201,HIS-HOH,0.119
4qi3,HEM_A_401,HIS-MET,-0.352
4qi3,HEM_B_602,HIS-MET,-0.368
4qi7,HEM_A_901,HIS-MET,-0.827
4qi7,HEM_B_901,HIS-MET,-0.654
4qjq,HEM_A_601,HIS-HOH,-0.328
4qo5,HEC_A_601,HIS-HIS,-0.362
4qo5,HEC_A_602,HIS-HIS,0.434
4qo5,HEC_A_603,HIS-MET,0.197
4qo5,HEC_A_604,HIS-HOH,0.485
4qo5,HEC_A_605,HIS-HIS,0.348
4qo5,HEC_A_606,HIS-LYS,0.225
4qo5,HEC_A_607,HIS-MET,0.174
4qo5,HEC_A_608,HIS-HIS,0.037
4qol,HEM_A_501,TYR,-0.049
4qol,HEM_A_502,TYR,0.190
4qol,HEM_B_501,TYR-HOH,-0.149
4qol,HEM_B_502,TYR-HOH,0.204
4qol,HEM_C_501,TYR-HOH,-0.091
4qol,HEM_C_502,TYR-HOH,0.170
4qol,HEM_D_501,TYR-HOH,-0.160
4qol,HEM_D_502,TYR-HOH,0.159
4qom,HEM_A_501,TYR-PYG,-0.138
4qom,HEM_A_502,TYR-PYG,0.207
4qom,HEM_B_501,TYR-PYG,-0.211
4qom,HEM_B_502,TYR,0.178
4qom,HEM_C_501,TYR-PYG,-0.100
4qom,HEM_C_502,TYR,0.175
4qom,HEM_D_501,TYR-PYG,-0.139
4qom,HEM_D_502,TYR-PYG,0.141
4qon,HEM_A_501,TYR,-0.170
4qon,HEM_A_502,TYR,0.237
4qon,HEM_B_501,TYR-CAQ,-0.207
4qon,HEM_B_502,TYR,0.145
4qon,HEM_C_501,TYR,-0.125
4qon,HEM_C_502,TYR,0.113
4qon,HEM_D_501,TYR-CAQ,-0.132
4qon,HEM_D_502,TYR-CAQ,0.132
4qoo,HEM_A_501,TYR,-0.167
4qoo,HEM_A_502,TYR,0.162
4qoo,HEM_B_501,TYR-HOH,-0.233
4qoo,HEM_B_502,TYR-HOH,0.207
4qoo,HEM_C_501,TYR,-0.108
4qoo,HEM_C_502,TYR,0.205
4qoo,HEM_D_501,TYR-HOH,-0.179
4qoo,HEM_D_502,TYR-HOH,0.156
4qop,HEM_A_501,TYR,-0.122
4qop,HEM_A_502,TYR,0.201
4qop,HEM_B_501,TYR-HOH,-0.136
4qop,HEM_B_502,TYR-HOH,0.186
4qop,HEM_C_501,TYR-HOH,-0.029
4qop,HEM_C_502,TYR-HOH,0.206
4qop,HEM_D_501,TYR-HOH,-0.193
4qop,HEM_D_502,TYR,0.086
4qoq,HEM_A_501,TYR,-0.126
4qoq,HEM_A_502,TYR,0.244
4qoq,HEM_B_501,TYR-HOH,-0.128
4qoq,HEM_B_502,TYR-HOH,0.216
4qoq,HEM_C_501,TYR-HOH,-0.122
4qoq,HEM_C_502,TYR,0.260
4qoq,HEM_D_501,TYR-HOH,-0.199
4qoq,HEM_D_502,TYR-HOH,0.141
4qor,HEM_A_501,TYR,-0.127
4qor,HEM_A_502,TYR,0.240
4qor,HEM_B_501,TYR-HOH,-0.200
4qor,HEM_B_502,TYR-HOH,0.182
4qor,HEM_C_501,TYR,-0.047
4qor,HEM_C_502,TYR,0.187
4qor,HEM_D_501,TYR-HOH,-0.184
4qor,HEM_D_502,TYR,0.083
4r20,HEM_A_601,CYS-AER,-0.093
4r20,HEM_B_601,CYS-AER,-0.112
4r21,HEM_A_600,CYS,-0.145
4r21,HEM_B_600,CYS,-0.020
4rkm,HEM_A_806,HIS-HIS,0.007
4rkm,HEM_A_807,HIS-SO2,-0.162
4rkm,HEM_A_808,HIS-HIS,-0.074
4rkm,HEM_A_809,HIS-HIS,-0.217
4rkm,HEM_A_810,HIS-HIS,-0.042
4rkm,HEM_A_811,HIS-HIS,-0.008
4rkm,HEM_A_812,HIS-HIS,0.076
4rkm,HEM_A_813,HIS-HIS,0.107
4rkm,HEM_B_807,HIS-HIS,-0.006
4rkm,HEM_B_808,HIS-SX,-0.120
4rkm,HEM_B_809,HIS-HIS,-0.083
4rkm,HEM_B_810,HIS-HIS,-0.196
4rkm,HEM_B_811,HIS-HIS,-0.054
4rkm,HEM_B_812,HIS-HIS,0.000
4rkm,HEM_B_813,HIS-HIS,0.104
4rkm,HEM_B_814,HIS-HIS,0.127
4rkm,HEM_C_806,HIS-HIS,-0.004
4rkm,HEM_C_807,HIS-SX,-0.129
4rkm,HEM_C_808,HIS-HIS,-0.061
4rkm,HEM_C_809,HIS-HIS,-0.194
4rkm,HEM_C_810,HIS-HIS,-0.029
4rkm,HEM_C_811,HIS-HIS,0.011
4rkm,HEM_C_812,HIS-HIS,0.072
4rkm,HEM_C_813,HIS-HIS,0.101
4rkm,HEM_D_806,HIS-HIS,-0.023
4rkm,HEM_D_807,HIS-SO2,-0.160
4rkm,HEM_D_808,HIS-HIS,-0.027
4rkm,HEM_D_809,HIS-HIS,-0.186
4rkm,HEM_D_810,HIS-HIS,-0.040
4rkm,HEM_D_811,HIS-HIS,0.014
4rkm,HEM_D_812,HIS-HIS,0.090
4rkm,HEM_D_813,HIS-HIS,0.110
4rkm,HEM_E_806,HIS-HIS,-0.022
4rkm,HEM_E_807,HIS-SX,-0.105
4rkm,HEM_E_808,HIS-HIS,-0.066
4rkm,HEM_E_809,HIS-HIS,-0.223
4rkm,HEM_E_810,HIS-HIS,-0.032
4rkm,HEM_E_811,HIS-HIS,0.024
4rkm,HEM_E_812,HIS-HIS,0.084
4rkm,HEM_E_813,HIS-HIS,0.108
4rkm,HEM_F_807,HIS-HIS,-0.027
4rkm,HEM_F_808,HIS-SX,-0.095
4rkm,HEM_F_809,HIS-HIS,-0.083
4rkm,HEM_F_810,HIS-HIS,-0.128
4rkm,HEM_F_811,HIS-HIS,-0.003
4rkm,HEM_F_812,HIS-HIS,0.019
4rkm,HEM_F_813,HIS-HIS,0.101
4rkm,HEM_F_814,HIS-HIS,0.137
4rkm,HEM_H_807,HIS-HIS,-0.026
4rkm,HEM_H_808,HIS-SX,-0.092
4rkm,HEM_H_809,HIS-HIS,-0.073
4rkm,HEM_H_810,HIS-HIS,-0.159
4rkm,HEM_H_811,HIS-HIS,-0.019
4rkm,HEM_H_812,HIS-HIS,0.002
4rkm,HEM_H_813,HIS-HIS,0.059
4rkm,HEM_H_814,HIS-HIS,0.117
4rkm,HEM_I_806,HIS-HIS,-0.020
4rkm,HEM_I_807,HIS-SO2,-0.115
4rkm,HEM_I_808,HIS-HIS,-0.081
4rkm,HEM_I_809,HIS-HIS,-0.185
4rkm,HEM_I_810,HIS-HIS,-0.077
4rkm,HEM_I_811,HIS-HIS,0.024
4rkm,HEM_I_812,HIS-HIS,0.045
4rkm,HEM_I_813,HIS-HIS,0.099
4rkm,HEM_J_806,HIS-HIS,-0.005
4rkm,HEM_J_807,HIS-SX,-0.107
4rkm,HEM_J_808,HIS-HIS,-0.054
4rkm,HEM_J_809,HIS-HIS,-0.186
4rkm,HEM_J_810,HIS-HIS,-0.045
4rkm,HEM_J_811,HIS-HIS,0.020
4rkm,HEM_J_812,HIS-HIS,0.022
4rkm,HEM_J_813,HIS-HIS,0.083
4rkm,HEM_K_806,HIS-HIS,0.007
4rkm,HEM_K_807,HIS-SX,-0.076
4rkm,HEM_K_808,HIS-HIS,-0.071
4rkm,HEM_K_809,HIS-HIS,-0.179
4rkm,HEM_K_810,HIS-HIS,-0.076
4rkm,HEM_K_811,HIS-HIS,-0.018
4rkm,HEM_K_812,HIS-HIS,0.026
4rkm,HEM_K_813,HIS-HIS,0.104
4rkm,HEM_L_806,HIS-HIS,-0.012
4rkm,HEM_L_807,HIS-SX,-0.098
4rkm,HEM_L_808,HIS-HIS,-0.070
4rkm,HEM_L_809,HIS-HIS,-0.145
4rkm,HEM_L_810,HIS-HIS,-0.018
4rkm,HEM_L_811,HIS-HIS,0.011
4rkm,HEM_L_812,HIS-HIS,0.044
4rkm,HEM_L_813,HIS-HIS,0.076
4rkm,HEM_G_806,HIS-HIS,0.011
4rkm,HEM_G_807,HIS-SO2,-0.133
4rkm,HEM_G_808,HIS-HIS,-0.041
4rkm,HEM_G_809,HIS-HIS,-0.174
4rkm,HEM_G_810,HIS-HIS,-0.032
4rkm,HEM_G_811,HIS-HIS,0.009
4rkm,HEM_G_812,HIS-HIS,0.058
4rkm,HEM_G_813,HIS-HIS,0.138
4rkn,HEM_A_902,HIS-HIS,-0.005
4rkn,HEM_A_903,HIS-SO3,-0.159
4rkn,HEM_A_904,HIS-HIS,-0.020
4rkn,HEM_A_905,HIS-HIS,-0.410
4rkn,HEM_A_906,HIS-HIS,0.037
4rkn,HEM_A_907,HIS-HIS,-0.046
4rkn,HEM_A_908,HIS-HIS,0.176
4rkn,HEM_A_909,HIS-HIS,0.235
4rkn,HEM_B_902,HIS-HIS,-0.058
4rkn,HEM_B_903,HIS-SO3,-0.192
4rkn,HEM_B_904,HIS-HIS,-0.055
4rkn,HEM_B_905,HIS-HIS,-0.363
4rkn,HEM_B_906,HIS-HIS,-0.056
4rkn,HEM_B_907,HIS-HIS,-0.024
4rkn,HEM_B_908,HIS-HIS,0.195
4rkn,HEM_B_909,HIS-HIS,0.195
4rkn,HEM_C_902,HIS-HIS,-0.020
4rkn,HEM_C_903,HIS-SO3,-0.135
4rkn,HEM_C_904,HIS-HIS,-0.191
4rkn,HEM_C_905,HIS-HIS,-0.237
4rkn,HEM_C_906,HIS-HIS,-0.051
4rkn,HEM_C_907,HIS-HIS,-0.025
4rkn,HEM_C_908,HIS-HIS,0.248
4rkn,HEM_C_909,HIS-HIS,0.256
4rkn,HEM_D_902,HIS-HIS,0.011
4rkn,HEM_D_903,HIS-SO3,-0.163
4rkn,HEM_D_904,HIS-HIS,-0.065
4rkn,HEM_D_905,HIS-HIS,-0.346
4rkn,HEM_D_906,HIS-HIS,-0.078
4rkn,HEM_D_907,HIS-HIS,0.037
4rkn,HEM_D_908,HIS-HIS,0.222
4rkn,HEM_D_909,HIS-HIS,0.233
4rlr,HEM_A_201,HIS-MET,-0.334
4rm4,HEM_A_401,CYS-HOH,-0.261
4rol,HEM_A_201,HIS,0.183
4rol,HEM_B_201,HIS,0.555
4rol,HEM_C_201,HIS,0.086
4rol,HEM_D_201,HIS,0.384
4rom,HEM_A_201,HIS,0.155
4rom,HEM_B_201,HIS,0.405
4rom,HEM_C_201,HIS,0.146
4rom,HEM_D_201,HIS,0.474
4rql,HEM_A_501,CYS,-0.208
4rql,HEM_B_501,CYS,-0.141
4rrt,HEM_A_501,CYS,-0.248
4rrt,HEM_B_501,CYS,-0.237
4rsn,HEM_A_501,CYS,-0.394
4rsn,HEM_B_501,CYS,-0.432
4rsz,HEC_A_201,HIS-MET,-0.161
4rsz,HEC_B_201,HIS-MET,-0.208
4rsz,HEC_C_201,HIS-MET,-0.150
4rsz,HEC_D_201,HIS-MET,-0.163
4rsz,HEC_E_201,HIS-MET,-0.070
4rsz,HEC_F_201,HIS-MET,-0.140
4rui,HEM_D_501,CYS,-0.210
4rui,HEM_A_502,CYS,-0.111
4rui,HEM_B_501,CYS,-0.165
4rui,HEM_C_501,CYS,-0.184
4rui,HEM_E_501,CYS,-0.235
4rui,HEM_F_501,CYS,-0.245
4rwm,HEC_A_610,HIS-HIS,0.009
4rwm,HEC_A_611,HIS-HIS,0.105
4rwm,HEC_A_612,HIS-HIS,0.565
4rwm,HEC_A_613,HIS-HOH,0.108
4rwm,HEC_A_614,HIS-HIS,0.291
4rwm,HEC_A_615,HIS-HIS,0.006
4rwm,HEC_A_616,HIS-HIS,0.605
4rwm,HEC_A_617,HIS-HIS,-0.300
4sdh,HEM_A_147,HIS,-0.392
4sdh,HEM_B_147,HIS,-0.443
4to9,HEM_B_201,MET-MET,-0.214
4to9,HEM_C_201,MET-MET,-0.244
4to9,HEM_F_201,MET-MET,-0.157
4to9,HEM_H_201,MET-MET,-0.196
4to9,HEM_J_201,MET-MET,-0.291
4to9,HEM_K_201,MET-MET,-0.241
4to9,HEM_N_201,MET-MET,-0.205
4to9,HEM_O_201,MET-MET,-0.219
4to9,HEM_Q_201,MET-MET,-0.284
4to9,HEM_S_201,MET-MET,-0.260
4to9,HEM_V_201,MET-MET,-0.281
4to9,HEM_W_201,MET-MET,-0.207
4toa,HEM_B_209,MET-MET,-0.292
4toa,HEM_C_208,MET-MET,-0.213
4toa,HEM_F_206,MET-MET,-0.272
4toa,HEM_H_205,MET-MET,-0.217
4toa,HEM_I_208,MET-MET,-0.233
4toa,HEM_K_206,MET-MET,-0.329
4toa,HEM_N_208,MET-MET,-0.250
4toa,HEM_P_206,MET-MET,-0.249
4toa,HEM_R_205,MET-MET,-0.256
4toa,HEM_T_205,MET-MET,-0.334
4toa,HEM_U_205,MET-MET,-0.221
4toa,HEM_X_205,MET-MET,-0.169
4tob,HEM_B_201,MET-MET,-0.211
4tob,HEM_C_201,MET-MET,-0.220
4tob,HEM_F_201,MET-MET,-0.280
4tob,HEM_H_201,MET-MET,-0.215
4tob,HEM_J_201,MET-MET,-0.297
4tob,HEM_K_201,MET-MET,-0.279
4tob,HEM_N_201,MET-MET,-0.194
4tob,HEM_O_201,MET-MET,-0.214
4tob,HEM_Q_201,MET-MET,-0.216
4tob,HEM_T_201,MET-MET,-0.259
4tob,HEM_V_201,MET-MET,-0.250
4tob,HEM_X_201,MET-MET,-0.214
4toc,HEM_A_207,MET-MET,-0.210
4toc,HEM_C_205,MET-MET,-0.195
4toc,HEM_E_207,MET-MET,-0.232
4toc,HEM_H_206,MET-MET,-0.214
4toc,HEM_J_206,MET-MET,-0.130
4toc,HEM_K_206,MET-MET,-0.191
4toc,HEM_M_206,MET-MET,-0.184
4toc,HEM_P_205,MET-MET,-0.224
4toc,HEM_Q_204,MET-MET,-0.208
4toc,HEM_T_206,MET-MET,-0.252
4toc,HEM_U_205,MET-MET,-0.244
4toc,HEM_W_206,MET-MET,-0.152
4tod,HEM_A_201,MET-MET,-0.214
4tod,HEM_C_201,MET-MET,-0.179
4tod,HEM_F_201,MET-MET,-0.213
4tod,HEM_H_201,MET-MET,-0.231
4tod,HEM_J_201,MET-MET,-0.248
4tod,HEM_L_201,MET-MET,-0.210
4tod,HEM_N_201,MET-MET,-0.177
4tod,HEM_P_201,MET-MET,-0.263
4tod,HEM_Q_201,MET-MET,-0.212
4tod,HEM_T_201,MET-MET,-0.212
4tod,HEM_V_201,MET-MET,-0.268
4tod,HEM_X_201,MET-MET,-0.125
4toe,HEM_A_207,MET-MET,-0.264
4toe,HEM_D_207,MET-MET,-0.231
4toe,HEM_E_207,MET-MET,-0.280
4toe,HEM_G_208,MET-MET,-0.248
